state+city+zip+pop+loc
MA+BOSTON+2215+17769+[-71.102689, 42.347088]
MA+AVON+2322+4594+[-71.043738, 42.125825]
MA+BRIDGEWATER+2324+21198+[-70.97234, 41.977341]
MA+CARVER+2330+10573+[-70.767754, 41.888265]
MA+DUXBURY+2332+13913+[-70.716257, 42.039936]
MA+EAST BRIDGEWATER+2333+11104+[-70.944964, 42.031478]
MA+HALIFAX+2338+6526+[-70.844794, 42.000159]
MA+HANOVER+2339+11912+[-70.857006, 42.121406]
MA+HANSON+2341+9037+[-70.865053, 42.061627]
MA+HOLBROOK+2343+11041+[-71.008273, 42.14641]
MA+MIDDLEBORO+2346+17867+[-70.892965, 41.888396]
MA+LAKEVILLE+2347+7785+[-70.958195, 41.837377]
MA+ABINGTON+2351+13849+[-70.954293, 42.116715]
MA+NORTH EASTON+2356+10397+[-71.112337, 42.058956]
MA+PEMBROKE+2359+14535+[-70.804404, 42.062072]
MA+PLYMOUTH+2360+45629+[-70.642004, 41.910404]
MA+KINGSTON+2364+9045+[-70.740993, 41.995022]
MA+PLYMPTON+2367+2384+[-70.804582, 41.96549]
MA+RANDOLPH+2368+30057+[-71.051392, 42.173587]
MA+ROCKLAND+2370+16123+[-70.913263, 42.129286]
MA+SOUTH EASTON+2375+9247+[-71.098814, 42.025704]
MA+WEST BRIDGEWATER+2379+6440+[-71.016054, 42.025511]
MA+WHITMAN+2382+13208+[-70.938127, 42.081603]
MA+BROCKTON+2401+59498+[-71.034348, 42.081571]
MA+BROCKTON+2402+33290+[-71.001947, 42.088396]
MA+ONSET+2532+12047+[-70.593168, 41.752918]
MA+CHILMARK+2535+952+[-70.741613, 41.357523]
MA+TEATICKET+2536+15976+[-70.565174, 41.58504]
MA+EAST SANDWICH+2537+7254+[-70.46822, 41.684603]
MA+EAST WAREHAM+2538+4778+[-70.653237, 41.768247]
MA+EDGARTOWN+2539+3062+[-70.533893, 41.388856]
MA+FALMOUTH+2540+8588+[-70.621663, 41.564754]
MA+OTIS A F B+2542+2078+[-70.57383, 41.660927]
MA+WOODS HOLE+2543+833+[-70.66431, 41.526272]
MA+NANTUCKET+2554+6012+[-70.093216, 41.272529]
MA+NORTH FALMOUTH+2556+2651+[-70.623043, 41.641677]
MA+POCASSET+2559+3907+[-70.610512, 41.688115]
MA+SANDWICH+2563+9007+[-70.469325, 41.698304]
MA+VINEYARD HAVEN+2568+5924+[-70.593737, 41.449955]
MA+WAREHAM+2571+9304+[-70.711594, 41.754084]
MA+WEST TISBURY+2575+1603+[-70.655802, 41.413717]
MA+WEST WAREHAM+2576+3919+[-70.764179, 41.779617]
MA+WEST YARMOUTH+2601+14543+[-70.298176, 41.653682]
MA+BARNSTABLE+2630+1776+[-70.300067, 41.698289]
MA+BREWSTER+2631+8535+[-70.069868, 41.749179]
MA+CENTERVILLE+2632+10636+[-70.353196, 41.660585]
MA+SOUTH CHATHAM+2633+4744+[-69.980758, 41.687634]
MA+COTUIT+2635+3266+[-70.433431, 41.696025]
MA+DENNIS+2638+3216+[-70.191054, 41.732166]
MA+DENNIS PORT+2639+2510+[-70.132711, 41.664873]
MA+EASTHAM+2642+4582+[-69.984865, 41.840781]
MA+FORESTDALE+2644+2712+[-70.514317, 41.682695]
MA+HARWICH+2645+7363+[-70.057929, 41.70082]
MA+HARWICH PORT+2646+1843+[-70.076755, 41.67128]
MA+MARSTONS MILLS+2648+5777+[-70.416321, 41.670274]
MA+MASHPEE+2649+4469+[-70.485361, 41.618116]
MA+NORTH CHATHAM+2650+995+[-69.966607, 41.70298]
MA+NORTH TRURO+2652+834+[-70.08751, 42.033779]
MA+ORLEANS+2653+5860+[-69.982198, 41.779161]
MA+OSTERVILLE+2655+2330+[-70.383726, 41.63005]
MA+PROVINCETOWN+2657+3561+[-70.186504, 42.053364]
MA+SOUTH CHATHAM+2659+840+[-70.024106, 41.680126]
MA+SOUTH DENNIS+2660+6680+[-70.15851, 41.709711]
MA+BASS RIVER+2664+8514+[-70.19731, 41.672805]
MA+TRURO+2666+739+[-70.056362, 41.998792]
MA+WELLFLEET+2667+2373+[-70.018587, 41.928934]
MA+WEST BARNSTABLE+2668+2311+[-70.371985, 41.700212]
MA+WEST DENNIS+2670+1347+[-70.168092, 41.662557]
MA+WEST HARWICH+2671+1061+[-70.113501, 41.669367]
MA+WEST YARMOUTH+2673+6972+[-70.236297, 41.661367]
MA+YARMOUTH PORT+2675+5735+[-70.227014, 41.705149]
MA+ASSONET+2702+3614+[-71.060736, 41.797458]
MA+ATTLEBORO+2703+38528+[-71.30092, 41.929599]
MA+CUTTYHUNK+2713+98+[-70.87854, 41.443601]
MA+DIGHTON+2715+1828+[-71.142723, 41.812505]
MA+EAST FREETOWN+2717+4883+[-70.967709, 41.763455]
MA+EAST TAUNTON+2718+4800+[-71.019225, 41.873585]
